seed,phase,phase_name,phase_total_runs,phase_epochs_per_run,run_idx,run_total,lr,wd,bs,drop_path_rate,epoch,epoch_total,loss,train_acc_pct,test_acc_pct
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,16,20,0.9426,66.48,66.75
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,17,20,0.9242,67.2,66.77
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,18,20,0.9047,67.9,68.23
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,19,20,0.8905,68.35,68.72
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,20,20,0.8812,68.58,68.55
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,1,20,2.0455,23.62,29.46
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,2,20,1.8465,31.75,31.44
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,3,20,1.7458,35.57,35.31
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,4,20,1.6336,40.37,41.26
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,5,20,1.4903,45.98,45.43
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,6,20,1.3523,50.97,52.29
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,7,20,1.2598,54.39,52.88
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,8,20,1.1852,56.98,57.87
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,9,20,1.1267,59.59,58.93
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,10,20,1.0745,61.42,62.66
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,11,20,1.0305,63.23,62.93
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,12,20,0.989,64.59,63.84
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,13,20,0.9572,65.96,66.12
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,14,20,0.9177,67.23,67.92
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,15,20,0.8881,68.32,67.78
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,16,20,0.8634,69.18,68.97
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,17,20,0.8384,70.32,69.82
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,18,20,0.8132,71.26,69.83
