seed,epoch,epoch_total,member,train_batch_size,data_build_s,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,lr_sched_start,lr_sched_end,pbt_lr,pbt_batch_size,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs
38042,29,70,1,128,1.6751296520233154,17.908673524856567,1.37180757522583,0.7917,72.04,70.56,0.000306,0.000408,0.000408,128,0.15,0.072,5.0
38042,29,70,2,256,1.6833808422088623,10.138722896575928,1.3951027393341064,0.733,73.93,72.61,0.000336,0.000326,0.000326,256,0.13,0.106,5.0
38042,29,70,3,64,1.6830201148986816,35.13553333282471,1.3808214664459229,0.7089,75.11,72.37,0.00019,0.000184,0.000184,64,0.15,0.079,5.0
38042,29,70,4,128,1.6909337043762207,17.796353101730347,1.3910269737243652,0.7618,73.01,71.92,0.000258,0.00025,0.00025,128,0.118,0.127,5.0
38042,30,70,0,64,1.677060604095459,33.7342004776001,1.3787522315979004,0.754,73.34,71.96,0.000133,0.000129,0.000129,64,,,
38042,30,70,1,128,1.6838674545288086,17.385534286499023,1.3779067993164062,0.8294,70.61,70.48,0.000408,0.000509,0.000509,128,0.15,0.072,5.0
38042,30,70,2,256,1.6819767951965332,9.95691442489624,1.4095165729522705,0.7049,74.99,73.29,0.000326,0.000316,0.000316,256,0.13,0.106,5.0
38042,30,70,3,64,1.6905877590179443,33.19901084899902,1.3847622871398926,0.7007,75.15,74.22,0.000184,0.000178,0.000178,64,0.15,0.079,5.0
38042,30,70,4,128,1.6820471286773682,17.957355737686157,1.366380214691162,0.7432,73.57,72.29,0.00025,0.000242,0.000242,128,0.118,0.127,5.0
38042,31,70,0,64,1.679962158203125,34.43765664100647,1.4104275703430176,0.7386,73.8,72.37,0.000129,0.000124,0.000124,64,,,
38042,31,70,1,256,1.6689326763153076,9.891850709915161,1.3779420852661133,0.6309,77.77,75.85,4.02e-07,7.92e-05,7.92e-05,256,0.15,0.101,5.0
38042,31,70,2,256,1.6930575370788574,10.317046165466309,1.394914150238037,0.6919,75.5,73.42,0.000316,0.000305,0.000305,256,0.13,0.106,5.0
